,title,url,Unnamed: 2
46,"COVID-19 impacting worker protections and restaurants in America | Coronavirus Conversations, EP1",https://www.youtube.com/watch?v=9bf_C39AiEg,
47,President Trump and First Lady Melania Trump test positive for COVID-19 | USA TODAY,https://www.youtube.com/watch?v=RNgOkiFmTRM,
48,What could a second wave of coronavirus look like? | USA TODAY,https://www.youtube.com/watch?v=PD4BW4K3ZZI,
49,"Dr. Anthony Fauci, Dr. Robert Redfield, others testify on COVID-19 strategy | USA TODAY",https://www.youtube.com/watch?v=X7ks62Jtvn0,
50,How this Black-owned sweet potato cafe is defying the COVID-19 odds | USA TODAY,https://www.youtube.com/watch?v=37R9P_iNjkg,
51,COVID back to school: Fall semester 2020 means uncertainty and fear | Coronavirus Chronicles,https://www.youtube.com/watch?v=_2S21S6lZQ8,
52,"FDA: Hydroxychloroquine isn't safe or effective in treating, preventing COVID-19 | USA TODAY",https://www.youtube.com/watch?v=MgNHSuq2FdU,
53,President Trump on small business support amid coronavirus | USA TODAY,https://www.youtube.com/watch?v=xrAJuh9nM8w,
54,Wedding cancellations: Vendors look for ways to stay afloat amid pandemic | Coronavirus Chronicles,https://www.youtube.com/watch?v=gIQKlQXjTJE,
56,White House addresses coronavirus cases among West Wing staff | USA TODAY,https://www.youtube.com/watch?v=KJ3U5aHCdq8,
57,Why a vaccine for coronavirus will take longer to develop than you might think | Just The FAQs,https://www.youtube.com/watch?v=hO-UiPoi3iI,
59,Here's how coronavirus attacks the body | Just the FAQs: Deep Dive,https://www.youtube.com/watch?v=mffEPofNZeY,
60,Gov. Andrew Cuomo gives updates on coronavirus pandemic in New York | USA TODAY,https://www.youtube.com/watch?v=0HCdRcAXqWA,
62,Senate Republicans release info on $1 trillion COVID-19 stimulus package | USA TODAY,https://www.youtube.com/watch?v=nJIhk07ogiM,
63,"President Trump and coronavirus task force update on pandemic, Monday, April 14 | USA TODAY",https://www.youtube.com/watch?v=ZDT3Kk34-MY,
64,Survivors suffer for weeks after virus clears | Coronavirus Chronicles,https://www.youtube.com/watch?v=ZYdXIx2bMvY,
